,Article no:,Unnamed: 0.1.1,authors,first_names,Genders (Gulce) Female:0 Male:1,Male Auhtors,Female Authors,Male auth,last_names,genders,Old race/ethnicities,"True Author races (asian, black, hispanic, white)",title,abstracts,keywords,url,ai_healthcare_fairness,Research paper(1) or opinion piece? (0),Country focus of paper (if relevent),Income of focus country (See user guide),Year,Citations,"Funding (yes =1, 0 = no)",If so funder,Journal name,"Topic, remember to seperate by comma (gender, race, working conditions, social media, health conditions, disabilities, psychological, etc. keywords from the paper)","First author - gender (1 male, 0 female)","First author - race  (asian, black, white, hispanic)",First author - country,First author - country income level cf. User guide,First author - institution,First author - highest level of education,"First author - Minority serving university? Cf. User guide (1: yes, 0:no)","Last author - gender (1 male, 0 female)","Last author - race  (asian, black, white, hispanic)",Last author - country,Last author - country income level cf. User guide,Last author - institution,Last author - highest level of education,"Last author - Minority serving university? (1: yes, 0:no cf. userguide)",weq,Author countries,Author country income levels,income levels,Contries count,Authors gender count,"Match? AT AV (0=no, 1=yes)","Match? AT AV2 (0=no, 1=yes)",Author institutions,Author education levels,"Minority serving institutions (1: yes, 0: no)",Countries,Unique countries,COUNT 1,COUNT 2,Mistake,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,"True Author races (asian, black, hispanic, white)",White,black,hispanic,asian,blank -,SUM,Countries,mistakes,white auth,Average income level
0,1,835,"['Jason D Morgenstern', 'Laura C Rosella', 'Mark J Daley', 'Vivek Goel', 'Holger J Sch√ºnemann', 'Thomas Piggott']","['Jason D', 'Laura C', 'Mark J', 'Vivek', 'Holger J', 'Thomas']","['1', '0', '1', '1', '1', '1']",5,1,83%,"['Morgenstern', 'Rosella', 'Daley', 'Goel', 'Sch√ºnemann', 'Piggott']","['male', 'female', 'male', 'male', 'male', 'male']","['white', 'white', 'white', 'asian', 'white', 'white']","white, white, white, asian, white, white","""AI's gonna have an impact on everything in society, so it has to have an impact on public health"": a fundamental qualitative descriptive study of the implications of artificial intelligence for public health.","Our objective was to determine the impacts of artificial intelligence (AI) on public health practice.,We used a fundamental qualitative descriptive study design, enrolling 15 experts in public health and AI from June 2018 until July 2019 who worked in North America and Asia. We conducted in-depth semi-structured interviews, iteratively coded the resulting transcripts, and analyzed the results thematically.,We developed 137 codes, from which nine themes emerged. The themes included opportunities such as leveraging big data and improving interventions; barriers to adoption such as confusion regarding AI's applicability, limited capacity, and poor data quality; and risks such as propagation of bias, exacerbation of inequity, hype, and poor regulation.,Experts are cautiously optimistic about AI's impacts on public health practice, particularly for improving disease surveillance. However, they perceived substantial barriers, such as a lack of available expertise, and risks, including inadequate regulation. Therefore, investment and research into AI for public health practice would likely be beneficial. However, increased access to high-quality data, research and education regarding the limitations of AI, and development of rigorous regulation are necessary to realize these benefits.",,https://pubmed.ncbi.nlm.nih.gov/33407254/,1,1,"North America, Asia",4,2021,18,0,,BMC Public Health,"privacy, race, gender, selection bias",1,white,Canada,4,McMaster University,MD,0,1,white,Canada,4,McMaster University,MD,0,,"Canada, Canada, Canada, Canada, Canada, Canada","4, 4, 4, 4, 4, 4",6,6,6,1,1,"McMaster University, McMaster University, Vector Institute, McMaster University, McMaster University, McMaster University","MD, PhD, PhD, MD, MD, MD","0, 0, 0, 0, 0, 0",Afghanistan,0,6,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,Canada,Canada,Canada,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white, asian, white, white",5,0,0,1,0,6,6,0,83%,
1,2,1091,"['Monica I Lupei', 'Danni Li', 'Nicholas E Ingraham', 'Karyn D Baum', 'Bradley Benson', 'Michael Puskarich', 'David Milbrandt', 'Genevieve B Melton', 'Daren Scheppmann', 'Michael G Usher', 'Christopher J Tignanelli']","['Monica I', 'Danni', 'Nicholas E', 'Karyn D', 'Bradley', 'Michael', 'David', 'Genevieve B', 'Daren', 'Michael G', 'Christopher J']","['0', '0', '1', '0', '1', '1', '1', '0', '1', '1', '1']",7,4,64%,"['Lupei', 'Li', 'Ingraham', 'Baum', 'Benson', 'Puskarich', 'Milbrandt', 'Melton', 'Scheppmann', 'Usher', 'Tignanelli']","['female', 'female', 'male', 'female', 'male', 'male', 'male', 'female', 'male', 'male', 'male']","['white', 'asian', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","white, asian, white, white, white, white, white, white, white, white, white",A 12-hospital prospective evaluation of a clinical decision support prognostic algorithm based on logistic regression as a form of machine learning to facilitate decision making for patients with suspected COVID-19.,"To prospectively evaluate a logistic regression-based machine learning (ML) prognostic algorithm implemented in real-time as a clinical decision support (CDS) system for symptomatic persons under investigation (PUI) for Coronavirus disease 2019 (COVID-19) in the emergency department (ED).,We developed in a 12-hospital system a model using training and validation followed by a real-time assessment. The LASSO guided feature selection included demographics, comorbidities, home medications, vital signs. We constructed a logistic regression-based ML algorithm to predict ""severe"" COVID-19, defined as patients requiring intensive care unit (ICU) admission, invasive mechanical ventilation, or died in or out-of-hospital. Training data included 1,469 adult patients who tested positive for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) within 14 days of acute care. We performed: 1) temporal validation in 414 SARS-CoV-2 positive patients, 2) validation in a PUI set of 13,271 patients with symptomatic SARS-CoV-2 test during an acute care visit, and 3) real-time validation in 2,174 ED patients with PUI test or positive SARS-CoV-2 result. Subgroup analysis was conducted across race and gender to ensure equity in performance.,The algorithm performed well on pre-implementation validations for predicting COVID-19 severity: 1) the temporal validation had an area under the receiver operating characteristic (AUROC) of 0.87 (95%-CI: 0.83, 0.91); 2) validation in the PUI population had an AUROC of 0.82 (95%-CI: 0.81, 0.83). The ED CDS system performed well in real-time with an AUROC of 0.85 (95%-CI, 0.83, 0.87). Zero patients in the lowest quintile developed ""severe"" COVID-19. Patients in the highest quintile developed ""severe"" COVID-19 in 33.2% of cases. The models performed without significant differences between genders and among race/ethnicities (all p-values > 0.05).,A logistic regression model-based ML-enabled CDS can be developed, validated, and implemented with high performance across multiple hospitals while being equitable and maintaining performance in real-time validation.",,https://pubmed.ncbi.nlm.nih.gov/34986168/,1,1,North America,4,2022,1,1,CJT: Funding received through Agency for Healthcare Research and the Gates Foundation KDB: Supported on 2 grants from the MN Department of Health,Plos One,"machine learning,validation,clinical decision support",0,white,USA,4,University of Minnesota Medical School,MD,0,1,white,USA,4,University of Minnesota Medical School,MD,0,,"USA,USA,USA,USA,USA,USA, USA, USA, USA, USA, USA","4, 4, 4, 4, 4, 4,4,4,4,4,4",11,11,11,1,1,"University of Minnesota Medical School,University of Minnesota Medical School,University of Minnesota Medical School,University of Minnesota Medical School,University of Minnesota Medical School,University of Minnesota Medical School","MD, PhD, MD, MD, MD, MD","0, 0, 0, 0, 0, 0",Albania,0,11,11,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, asian, white, white, white, white, white, white, white, white, white",10,0,0,1,0,11,11,0,91%,
2,3,1250,"['Jack Fitzsimons', 'AbdulRahman Al Ali', 'Michael Osborne', 'Stephen Roberts']","['Jack', 'AbdulRahman', 'Michael', 'Stephen']","['1', '1', '1', '1']",4,0,100%,"['Fitzsimons', 'Al Ali', 'Osborne', 'Roberts']","['male', 'male', 'male', 'male']","['white', 'asian', 'white', 'white']","white, asian, white, white",A General Framework for Fair Regression.,"Fairness, through its many forms and definitions, has become an important issue facing the machine learning community. In this work, we consider how to incorporate group fairness constraints into kernel regression methods, applicable to Gaussian processes, support vector machines, neural network regression and decision tree regression. Further, we focus on examining the effect of incorporating these constraints in decision tree regression, with direct applications to random forests and boosted trees amongst other widespread popular inference techniques. We show that the order of complexity of memory and computation is preserved for such models and tightly binds the expected perturbations to the model in terms of the number of leaves of the trees. Importantly, the approach works on trained models and hence can be easily applied to models in current use and group labels are only required on training data.","machine learning, algorithmic fairness, kernel methods, constrained learning, Gaussian process, decision tree, neural network",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7515270/,1,1,Europe,4,2019,20,1,UK Royal Academy of Engineering and the Oxford-Man Institute of Quantitive Finance,Entropy (Basel),algorithmic fairness; constrained learning; decision tree; machine learning; neural network,0,white,UK,4,University of Oxford,PhD,0,1,white,UK,4,Northampton University,PhD,0,,"UK,UK,UK,UK","4, 4, 4, 4",4,4,4,1,1,"Department of Engineering Science, University of Oxford,Faculty of Business and Law, Northampton University","PhD,PhD, PhD, PhD, ","0, 0, 0, 0",Algeria,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UK,UK,UK,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, asian, white, white",3,0,0,1,0,4,4,0,75%,
4,5,800,"['Michelle S Mathis', 'Tosin E Badewa', 'Ruth N Obiarinze', 'Linda T Wilkinson', 'Colin A Martin']","['Michelle S', 'Tosin E', 'Ruth N', 'Linda T', 'Colin A']","['0', '0', '0', '0', '1']",1,4,20%,"['Mathis', 'Badewa', 'Obiarinze', 'Wilkinson', 'Martin']","['female', 'female', 'female', 'female', 'male']","['white', 'black', 'white', 'white', 'white']","white, -, -, white, black",A Novel Use of Artificial Intelligence to Examine Diversity and Hospital Performance.,"The US population is becoming more racially and ethnically diverse. Research suggests that cultural diversity within organizations can increase team potency and performance, yet this theory has not been explored in the field of surgery. Furthermore, when surveyed, patients express a desire for their care provider to mirror their own race and ethnicity. In the present study, we hypothesize that there is a positive correlation between a high ranking by the US News and World Report for gastroenterology and gastrointestinal (GI) surgery and greater racial, ethnic, and gender diversity among the physicians and surgeons.,We used the 2019 US News and World Report rankings for best hospitals by specialty to categorize gastroenterology and GI surgery departments into 2 groups: 1-50 and 51-100. Hospital websites of these top 100 were viewed to determine if racial diversity and inclusion were highlighted in the hospitals' core values or mission statements. To determine the rates of diversity within departments, Betaface (Betaface.com) facial analysis software was used to analyze photos taken from the hospitals' websites. This software was able to determine the race, ethnicity, and gender of the care providers. We examined the racial and ethnic makeup of the populations served by these hospitals to see if the gastroenterologists and surgeons adequately represented the state population. We then ran the independent samples t-test to determine if there was a difference in rankings of more diverse departments.,Hospitals with gastroenterology and GI surgery departments in the top 50 were more likely to mention diversity on their websites compared with hospitals that ranked from 51-100 (76% versus 56%; P = 0.035). The top 50 hospitals had a statistically significant higher percentage of underrepresented minority GI physicians and surgeons (7.01% versus 4.04%; P < 0.001). In the 31 states where these hospitals were located, there were more African Americans (13% versus 3%; P < 0.001) and Hispanics (12% versus 2%; P < 0.001), while there were fewer Asians (4% versus 21%; P < 0.001) in the population compared with the faculty.,We used artificial intelligence software to determine the degree of racial and ethnic diversity in gastroenterology and GI surgery departments across the county. Higher ranking hospitals had a greater degree of diversity of their faculty and were more likely to emphasize diversity in their mission statements. Hospitals stress the importance of having a culturally diverse staff, yet their care providers may not adequately reflect the populations they serve. Further work is needed to prospectively track diversity rates over time and correlate these changes with measurable outcomes.",,https://pubmed.ncbi.nlm.nih.gov/33750544/,1,1,USA,4,2021,1,1,,Journal of surgical research,"race, gender, selection bias,Diversity",0,white,USA,4,University of Alabama at Birmingham,MPH,0,1,black,USA,4,University of Alabama at Birmingham,MD,0,,"USA,USA,USA,USA, USA","4,4,4,4,4",5,5,5,1,1,"Division of Pediatric Surgery, Department of Surgery, University of Alabama at Birmingham","MPH,MD,MD,MD","0,1,0,0",Andorra,0,5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, -, -, white, black",2,1,0,0,2,5,5,0,40%,
5,6,1072,"['Angier Allen', 'Samson Mataraso', 'Anna Siefkas', 'Hoyt Burdick', 'Gregory Braden', 'R Phillip Dellinger', 'Andrea McCoy', 'Emily Pellegrini', 'Jana Hoffman', 'Abigail Green-Saxena', 'Gina Barnes', 'Jacob Calvert', 'Ritankar Das']","['Angier', 'Samson', 'Anna', 'Hoyt', 'Gregory', 'R Phillip', '', 'Andrea', 'Emily', 'Jana', 'Abigail', 'Gina', 'Jacob', 'Ritankar']","['0', '1', '0', '1', '1', '1', '0', '0', '0', '0', '0', '1', '1']",6,7,46%,"['Allen', 'Mataraso', 'Siefkas', 'Burdick', 'Braden', 'Dellinger', 'McCoy', 'Pellegrini', 'Hoffman', 'Green-Saxena', 'Barnes', 'Calvert', 'Das']","['female', 'male', 'female', 'male', 'male', 'male', 'female', 'female', 'female', 'female', 'female', 'male', 'male']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'asian']","white, white, white, white, white, white, white, white, white, white, white, white, asian","A Racially Unbiased, Machine Learning Approach to Prediction of Mortality: Algorithm Development Study.","Racial disparities in health care are well documented in the United States. As machine learning methods become more common in health care settings, it is important to ensure that these methods do not contribute to racial disparities through biased predictions or differential accuracy across racial groups.,The goal of the research was to assess a machine learning algorithm intentionally developed to minimize bias in in-hospital mortality predictions between white and nonwhite patient groups.,Bias was minimized through preprocessing of algorithm training data. We performed a retrospective analysis of electronic health record data from patients admitted to the intensive care unit (ICU) at a large academic health center between 2001 and 2012, drawing data from the Medical Information Mart for Intensive Care-III database. Patients were included if they had at least 10 hours of available measurements after ICU admission, had at least one of every measurement used for model prediction, and had recorded race/ethnicity data. Bias was assessed through the equal opportunity difference. Model performance in terms of bias and accuracy was compared with the Modified Early Warning Score (MEWS), the Simplified Acute Physiology Score II (SAPS II), and the Acute Physiologic Assessment and Chronic Health Evaluation (APACHE).,The machine learning algorithm was found to be more accurate than all comparators, with a higher sensitivity, specificity, and area under the receiver operating characteristic. The machine learning algorithm was found to be unbiased (equal opportunity difference 0.016, P=.20). APACHE was also found to be unbiased (equal opportunity difference 0.019, P=.11), while SAPS II and MEWS were found to have significant bias (equal opportunity difference 0.038, P=.006 and equal opportunity difference 0.074, P<.001, respectively).,This study indicates there may be significant racial bias in commonly used severity scoring systems and that machine learning algorithms may reduce bias while improving on the accuracy of these methods.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7644374/,1,1,USA,4,2020,15,0,,JMIR public health and surveillance,"health disparities;  racial disparities,bias",1,white,USA,4,"Dascena, Inc,",MA,0,1,asian,USA,4,Cape Regional Medical Center,MD,1,,"USA,USA,USA,USA,USA,USA, USA,USA,USA,USA,USA,USA, USA","4, 4, 4, 4, 4, 4,4,4,4,4,4,4,4",13,13,13,1,1,"Dascena, Inc,Cabell Huntington Hospital, Marshall University School of Medicine,Kidney Care and Transplant Associates of New England,Division of Critical Care Medicine, Cooper University Hospital/Cooper Medical School of Rowan University,Cape Regional Medical Center","MA,PhD,PhD,MD,MD,MD","0,0,0,0,0,1",Angola,0,13,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white, white, white, white, white, white, white, white, white, white, asian",12,0,0,1,0,13,13,0,92%,
7,8,1123,"['Christo El Morr', 'Pierre Maret', 'Fabrice Muhlenbach', 'Dhayananth Dharmalingam', 'Rediet Tadesse', 'Alexandra Creighton', 'Bushra Kundi', 'Alexis Buettgen', 'Thumeka Mgwigwi', 'Serban Dinca-Panaitescu', 'Enakshi Dua', 'Rachel Gorman']","['Christo', 'Pierre', 'Fabrice', 'Dhayananth', 'Rediet', 'Alexandra', 'Bushra', 'Alexis', 'Thumeka', 'Serban', 'Enakshi', 'Rachel']","['1', '1', '1', '1', '0', '0', '0', '1', '0', '1', '0', '0']",6,6,50%,"['El Morr', 'Maret', 'Muhlenbach', 'Dharmalingam', 'Tadesse', 'Creighton', 'Kundi', 'Buettgen', 'Mgwigwi', 'Dinca-Panaitescu', 'Dua', 'Gorman']","['male', 'male', 'male', 'male', 'female', 'female', 'female', 'male', 'female', 'male', 'female', 'female']","['white', 'white', 'white', 'asian', 'white', 'white', 'white', 'white', 'white', 'white', 'asian', 'white']","white, white, white, asian, white, white,white, white, white, white, asian, white",A Virtual Community for Disability Advocacy: Development of a Searchable Artificial Intelligence-Supported Platform.,"The lack of availability of disability data has been identified as a major challenge hindering continuous disability equity monitoring. It is important to develop a platform that enables searching for disability data to expose systemic discrimination and social exclusion, which increase vulnerability to inequitable social conditions.,Our project aims to create an accessible and multilingual pilot disability website that structures and integrates data about people with disabilities and provides data for national and international disability advocacy communities. The platform will be endowed with a document upload function with hybrid (automated and manual) paragraph tagging, while the querying function will involve an intelligent natural language search in the supported languages.,We have designed and implemented a virtual community platform using Wikibase, Semantic Web, machine learning, and web programming tools to enable disability communities to upload and search for disability documents. The platform data model is based on an ontology we have designed following the United Nations Convention on the Rights of Persons with Disabilities (CRPD). The virtual community facilitates the uploading and sharing of validated information, and supports disability rights advocacy by enabling dissemination of knowledge.,Using health informatics and artificial intelligence techniques (namely Semantic Web, machine learning, and natural language processing techniques), we were able to develop a pilot virtual community that supports disability rights advocacy by facilitating uploading, sharing, and accessing disability data. The system consists of a website on top of a Wikibase (a Semantic Web-based datastore). The virtual community accepts 4 types of users: information producers, information consumers, validators, and administrators. The virtual community enables the uploading of documents, semiautomatic tagging of their paragraphs with meaningful keywords, and validation of the process before uploading the data to the disability Wikibase. Once uploaded, public users (information consumers) can perform a semantic search using an intelligent and multilingual search engine (QAnswer). Further enhancements of the platform are planned.,The platform ontology is flexible and can accommodate advocacy reports and disability policy and legislation from specific jurisdictions, which can be accessed in relation to the CRPD articles. The platform ontology can be expanded to fit international contexts. The virtual community supports information upload and search. Semiautomatic tagging and intelligent multilingual semantic search using natural language are enabled using artificial intelligence techniques, namely Semantic Web, machine learning, and natural language processing.",,https://pubmed.ncbi.nlm.nih.gov/34738910/,1,1,North America,4,2021,9,0,,JMIR formative research,"virtual community,disability rights advocacy",1,white,Canada,4,"School of Health Policy and Management, Faculty of Health, York University",PhD,0,1,white,Canada,4,"School of Gender, Sexuality and Women's Studies, York University",PhD,0,,"Canada,France,Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada","4, 4, 4, 4,4, 4, 4, 4,4, 4, 4, 4",12,12,12,1,1,"School of Health Policy and Management, Faculty of Health, York University,Laboratoire Hubert Curien, Université Jean Monnet Saint Etienne,York University","PhD,PhD, PhD, PhD,PhD,PhD, PhD, PhD","0, 0, 0, 0",Antigua and Barbuda,0,12,12,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,France,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white, asian, white, white,white, white, white, white, asian, white",10,0,0,2,0,12,12,0,83%,
10,11,1268,"['L S Robins', ' ', ' ', ' ', ' ']","['L S', '', '', '', '']","['1', 1, 1, 1, 1]",5,0,100%,"['Robins', '', '', '', '']","['male', None, None, None, None]","['white', 'white',-,-,-]","white, white,-,white,white",A predictive model of student satisfaction with the medical school learning environment.,"To examine differences in attitudes toward the medical school learning environment among student subgroups based on gender and race-ethnicity, to identify the most influential predictors of student satisfaction with the learning environment, and to create a model of student satisfaction with the learning environment.,Three years of survey data (1992-93 to 1994-95) from first-year students at the University of Michigan Medical School were combined. The total sample consisted of 430 respondents, broken into two sets of subgroups: women (n = 171) and men (n = 259), and whites (n = 239) and underrepresented minorities (n = 74). Asian students were removed from analyses when comparisons were made by race-ethnicity, but were included in the analyses for all students and those comparing men and women. Student's t-tests were used to identify differences between gender and racial-ethnic groups in mean responses to seven survey items, and effect sizes were used to characterize the magnitudes and practical significances of the differences. Forward stepwise regression was conducted to determine the best predictive models for each student subgroup and for the total sample; the subgroup models were compared with each other as well as with the total-sample model.,Cross-validation of the gender and race-ethnicity models showed that the men's satisfaction and the women's satisfaction were predicted equally well using either subgroup's model, and that the white students' satisfaction and the underrepresented-minority students' satisfaction were predicted equally well using either subgroup's model. Furthermore, the total-sample model, employing a subset of five predictors, was similar in its predictive power to the subgroup models.,The study's findings suggest that curriculum structure (timely feedback and the promotion of critical thinking) and students' perceptions of the priority faculty place on students' education are prominent predictors of student satisfaction (across all subgroups) with the learning environment. In contrast, students' perceptions of the learning environment as a comfortable place for all gender and racial-ethnic groups, although less prominent predictors of satisfaction, will discriminate among the subgroups.","College Environment, College Students, Curriculum Evaluation, Educational Assessment, Educational Environment, Higher Education, Medical Schools, Medical Students, Minority Groups, Student Attitudes, Student School Relationship, Teacher Student Relationship",https://www.semanticscholar.org/paper/A-predictive-model-of-student-satisfaction-with-the-Robins-Gruppen/1f3e76c823ba358954494d650c181d4615baebf3,1,1,North America,4,1997,82,0,,Academic medicine : journal of the Association of American Medical Colleges,"learning environment, student satisfaction",1,white,USA,4,"University of Michigan Medical School,",MD,0,1,white,USA,4,"University of Michigan Medical School,",MD,0,,"USA,USA,USA,USA, USA","4,4,4,4,4",5,5,5,1,1,University of Michigan Medical School,"MD, MD, MD, MD, PHD","0,0,0,0,0",Argentina,14,5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white,-,white,white",4,0,0,0,1,5,5,0,80%,
12,13,1186,"['Gaurav Laroia', 'Benjamin D Horne', 'Sean Esplin', 'Vasant K Ramaswamy']","['Gaurav', 'Benjamin D', 'Sean', 'Vasant K']","['1', '1', '1', '1']",4,0,100%,"['Laroia', 'Horne', 'Esplin', 'Ramaswamy']","['male', 'male', 'male', 'male']","['asian', 'white', 'white', 'asian']","asian, white, white, asian",A unified health algorithm that teaches itself to improve health outcomes for every individual: How far into the future is it?,"The single biggest factor driving health outcomes is patient behavior. The CHR Model (County Health Rankings Model) weights socioeconomic factors, lifestyle behaviors, and physical environment factors collectively at 80% in driving impact on health outcomes, to the 20% weight for access to and quality of clinical care. Commercial determinants of health affect everyone today and unhealthy choices worsen pre-existing economic, social, and racial inequities. Yet there is a disproportionate focus on therapeutic intervention to the exclusion of shaping patient behaviors to improve healthcare. If the recent pandemic taught us a critically important lesson, it is the imperative to look beyond clinical care. According to the Centers for Disease Control and Prevention (CDC), long-standing systemic health and social inequities put various groups of people at higher risk of getting sick and dying from COVID-19, including many racial and ethnic minority groups. The virus was simply more efficient in detecting such vulnerabilities than the guardians of these physiologies. These insights from the pandemic come at the heel of a confluence of three major accelerants that may radically reshape our approaches to hot-spotting vulnerabilities and managing them before they manifest in a derangement or disease. They are the recent strides in behavioral economics and behavior science; advances in remote monitoring and personal health technologies; and developments in artificial intelligence and data sciences. These accelerants allow us to imagine a previously impossible vision-we can now build and maintain a unified health algorithm for every individual that can dynamically track the two interdependent streams of risk, clinical and behavioral.",,https://pubmed.ncbi.nlm.nih.gov/35083061/,1,0,North America,4,2022,0,0,,Digital health,behavior change; digital health; lifestyle change,1,asian,India,2,CareCentra,PhD,0,1,asian,India,2,"Department of Obstetrics and Gynecology, Intermountain Healthcare Maternal-Fetal Medicine, and University of Utah Health",MD,0,,"India,USA,USA,India","2,4,4,2",4,4,4,1,1,"CareCentra,Intermountain Medical Center Heart Institute, Stanford University,University of Utah Health","PhD,PhD,MD,MD","0,0,0,0",Armenia,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,India,USA,USA,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"asian, white, white, asian",2,0,0,2,0,4,4,0,50%,
14,15,1370,"['Wanja Wiese', 'Karl J Friston']","['Wanja', 'Karl J']","['1', '1']",2,0,100%,"['Wiese', 'Friston']","['male', 'male']","['white', 'white']","white,white",AI ethics in computational psychiatry: From the neuroscience of consciousness to the ethics of consciousness.,"Methods used in artificial intelligence (AI) overlap with methods used in computational psychiatry (CP). Hence, considerations from AI ethics are also relevant to ethical discussions of CP. Ethical issues include, among others, fairness and data ownership and protection. Apart from this, morally relevant issues also include potential transformative effects of applications of AI-for instance, with respect to how we conceive of autonomy and privacy. Similarly, successful applications of CP may have transformative effects on how we categorise and classify mental disorders and mental health. Since many mental disorders go along with disturbed conscious experiences, it is desirable that successful applications of CP improve our understanding of disorders involving disruptions in conscious experience. Here, we discuss prospects and pitfalls of transformative effects that CP may have on our understanding of mental disorders. In particular, we examine the concern that even successful applications of CP may fail to take all aspects of disordered conscious experiences into account.",,https://www.sciencedirect.com/science/article/pii/S0166432821005921,1,1,Europe,4,2022,0,0,,Behavioural brain research,Computational psychiatry; Consciousness; Ethics of consciousness,1,white,Germany,4,Ruhr University Bochum,PhD,0,1,white,UK,4,University College London,PhD,0,,"Germany,UK","4,4",2,2,2,1,1,"Ruhr University Bochum, University College London","PhD,PhD",0,Austria,8,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Germany,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white,white",2,0,0,0,0,2,2,0,100%,
15,16,782,"['Eileen Koski', 'Judy Murphy']","['Eileen', 'Judy']","['0', '0']",0,2,0%,"['Koski', 'Murphy']","['female', 'female']","['white', 'white']","white,white",AI in Healthcare.,"The potential value of AI to healthcare, and nursing in particular, ranges from improving quality and efficiency of care to delivering on the promise of personalized and precision medicine. AI systems may become virtually indispensable as ever more data is amassed about every aspect of health. AI can help reduce variability in care, while improving precision, accelerating discovery and reducing disparities. AI can empower patients and potentially allow healthcare professionals to relate to their patients as healers supported by the combined wisdom of the best medical research and analytic technology. There are, however, many challenges to understanding the optimal uses of AI; addressing the technological, systemic, regulatory and attitudinal roadblocks to successful implementation; and integrating AI into the fabric of health care. This paper provides a grounding in the origins and fundamental building blocks of AI, applications in healthcare and for nursing, and the critical challenges facing implementation in healthcare.",,https://pubmed.ncbi.nlm.nih.gov/34920529/,1,0,North America,4,2021,0,0,,Studies in health technology and informatics,"nursing,care",0,white,USA,4,IBM TJ Watson Research Center,M.phil,0,0,white,USA,4,IBM Global Healthcare,PhD,0,,"USA, USA","4,4",2,2,2,1,1,"IBM TJ Watson Research Center,IBM Global Healthcare","BS,PhD",0,Azerbaijan,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white,white",2,0,0,0,0,2,2,0,100%,
